Company Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Coca-Cola,72537,68945,69637,70453,67394,67525,67000,65324,66667,68734,70452,71861,77839,79213,118863,78423,73102,69733,66341,65004,64400
Microsoft,70196,65068,64091,65174,61372,59941,56926,58709,59007,56647,60895,59087,57853,59546,107439,67670,72795,79999,92715,95023,100200
IBM,53183,52752,51188,51767,53791,53376,56201,57090,59031,60211,64727,69905,75532,78808,81563,65095,52500,46829,42972,41290,40002
GE,39048,42396,41311,42340,44111,46996,48907,51569,53086,47777,42808,42808,43682,46947,45480,42267,43130,44208,32757,32090,30156
Intel,39048,34665,30861,31112,33499,35588,32319,30954,31261,30636,32015,35217,39385,37257,34153,35415,36952,39459,43292,44009,45010
Nokia,38528,35035,29970,29440,24041,26452,30131,33696,35942,34864,29495,25071,21009,7444,4138,0,0,0,0,0,0
Disney,33553,32591,29256,28036,27113,26441,27848,29210,29251,28447,28731,29018,27438,28147,32223,36514,38790,40772,39874,38900,40199
McDonald's,27859,25289,26375,24699,25001,26014,27501,29398,31049,32275,33578,35593,40062,41992,42254,39809,39381,41533,43417,46700,47009
Ford,36368,30092,20403,17066,14475,13159,11056,8982,7896,7005,7195,7483,7958,9181,10876,11578,12962,13643,13995,14300,14920
Marlboro,22110,22053,24151,22183,22128,21189,21350,21282,21300,19010,19961,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz,21104,21728,21010,21371,21331,20006,21795,23568,25577,23867,25179,27445,30097,31904,34338,36711,43490,47829,48601,50009,51009
AT&T,0,22828,16059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toyota,18823,18578,19448,20784,22673,24837,27941,32070,34050,31330,26192,27764,30280,35346,42392,49048,53580,50291,53404,55000,57135
Citi,18809,19005,18066,18571,19971,19967,21458,23442,20174,10254,8887,8620,7570,7973,8737,9784,10276,10599,11577,12000,13421
HP,0,17983,16776,19860,20978,18866,20458,22197,23509,24096,26867,28479,26087,25843,23758,23056,10386,9541,10433,11345,12321
Cisco,20067,17209,16222,15789,15948,16592,17532,19099,21306,22030,23219,25309,27197,29053,30936,29854,30948,31930,34575,36894,35600
American Express,0,16919,16287,16833,17683,18559,19641,20827,21940,14971,13944,14572,15702,17646,19510,18922,18358,17787,19139,21000,20182
Gillete,17358,15298,14959,15978,16723,17534,19579,20415,22689,22841,23298,23997,24898,25105,22845,22218,19950,18200,16864,15000,15903
BMW,12969,13858,14425,15106,15886,17126,19617,21612,23298,21671,22322,24554,29052,31839,34214,37212,41538,41521,41006,40200,42309
Apple,0,0,0,0,0,0,0,0,0,0,0,33492,76568,98316,118863,170276,178119,184154,214480,240000,289103
Google,0,0,0,0,0,0,0,0,25590,31980,43557,55317,69726,93291,107439,120314,133252,141703,155506,160000,178354
Samsung,0,0,0,0,0,0,0,0,0,0,0,0,32893,39610,45462,45297,51808,56249,59890,62300,64590
Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29478,37948,50338,64796,100764,120340,145000
Facebook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32593,48188,45168,46450,51460
